time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.306058773387955e-08,7.307559812736575e-08,0.0005834248988065156,9.438334787859048e-05,4.5596712031859e-05,0.0,-3.193260092520892e-06,6.8420007891509515e-06,0.019447138099663933,0.004547090750448084,0.0022382091946947917,0.0,410.0985156788513,410.2972215854998,410.6978675324495,411.10086662512595
0.12000000000000001,-3.7041870715001944e-06,4.486449697307536e-06,0.01234206135392718,5.666001270832055e-05,0.0009610845864154172,0.0,-0.0002035817048853727,0.00016056644276096267,0.37245969496931486,-0.013780380261081774,0.033271980840251444,0.0,509.6763394238181,511.8890574557556,511.7121598798246,510.4060915469913
0.18,-4.3013273366330606e-05,1.2092634204265832e-05,0.03713152808740505,6.282199553214005,0.0032824983742321123,0.0,-0.0013226892589534413,1.401515996842011e-06,0.4538261212670423,-0.025754155412534396,0.047772182756087356,0.0,430.1492686298693,431.3760281590462,431.95887068768917,430.94815760179705
0.23999999999999996,-0.00019967023991464977,-1.3458295192694374e-05,0.06699114519605148,6.280832784858692,0.006033625278115906,0.0,-0.004180740354960808,-0.000998325767838351,0.5414550629885386,-0.017410834635328148,0.041706676522068054,0.0,433.7724443069733,433.2641508677702,432.51199348628637,433.2139372638161
0.3,-0.0005759691931138599,-0.00012244553133862747,0.101142941623368,6.279913483034598,0.008321944735688369,0.0,-0.008592046269690772,-0.002727915565521829,0.5969085869956947,-0.01144064147614138,0.0298288999977762,0.0,423.395771004741,422.37355888977623,422.5641018134372,423.07845014150513
0.36000000000000004,-0.0012887809490254845,-0.00036361787624985544,0.1421095315983016,6.279263221663271,0.009916360995206652,0.0,-0.015359116295904545,-0.005386051827715715,0.7685423245447635,-0.009658262345319617,0.019105803610224303,0.0,460.27702815482536,459.4278592267394,459.01693459742205,459.1584666322145
0.4200000000000001,-0.002446185628545205,-0.0007790279557596035,0.1937367125017171,6.278090812335673,0.011802951703204556,0.0,-0.023401545599300445,-0.008533378129651591,0.9522262153825932,-0.06308870503595675,0.04877780179783366,0.0,462.56144999050997,464.8922090527232,465.027633308253,460.8234850202067
0.48000000000000015,-0.0041089103518171625,-0.0014118516314598427,0.2541490868716547,6.274737666070495,0.014884205354121605,0.0,-0.03233241402255368,-0.01292607868202383,1.0614177508880995,-0.0443966773891344,0.05606302035495371,0.0,440.46120996221936,441.0649279393317,439.98215864089156,441.5245281170421
0.5400000000000001,-0.006344823807223151,-0.002357554883266299,0.319217813437022,6.272210092475969,0.018799658322199875,0.0,-0.042543788822293066,-0.018840637402753314,1.1074879072663375,-0.03793455672978893,0.0791842735450603,0.0,419.5380555554407,421.54383195669084,420.4406455313195,420.9990023211389
0.6000000000000002,-0.009323691409906621,-0.00373485489505369,0.38966276550604917,6.269821140994933,0.023562911922108576,0.0,-0.05725771012706461,-0.027316712379693745,1.2405281337465743,-0.04387110872543185,0.07979081873358028,0.0,448.7584188151886,448.8126316039303,448.5735277664567,448.0904385227597
0.6600000000000003,-0.0132385402372667,-0.005645196437130356,0.46601878727897444,6.2668953793710145,0.02874848873799163,0.0,-0.0737201660347454,-0.03662650143901592,1.3045845406202674,-0.060981581599979046,0.0971718855182811,0.0,426.07440898681426,427.5640270462328,427.8911625669435,426.43052082882616
0.7200000000000003,-0.018214210652850307,-0.008156733208500693,0.5451324202052772,6.262943063889104,0.03500027926343474,0.0,-0.09268901457227008,-0.04743588635060883,1.3324799168924624,-0.07808438365208234,0.11545116833771676,0.0,414.5313281860498,416.1444644102923,415.92952325148184,414.4254188299012
0.7800000000000004,-0.024562971128998766,-0.011460688706277675,0.6291059318995158,6.257878697212117,0.041485749715429954,0.0,-0.11965605332914883,-0.06320866911683554,1.4664341033347534,-0.10167766814550931,0.08631187184994962,0.0,450.74938658507193,448.39831648244603,450.41811613061606,448.50012410004484
0.8400000000000004,-0.03244779669123672,-0.015691482976770876,0.7160350808855115,6.252458560187444,0.046276052508308574,0.0,-0.14358660862903155,-0.07828558054096911,1.4312162226740353,-0.07403348709701248,0.06195924816974104,0.0,395.5096814578063,393.2663653010344,392.6597248673206,395.20727817758313
0.9000000000000005,-0.04212137205796168,-0.021098842043783518,0.806752484784666,6.248006066504576,0.04999222139165482,0.0,-0.17926952452790546,-0.10244636686134935,1.5924467376349896,-0.07455981977722724,0.061889929275908376,0.0,458.7285518023888,458.7256747121389,457.9162707010902,457.87027804090377
0.9600000000000005,-0.05385209716919322,-0.027936453725020082,0.9038138188487798,6.243269935907499,0.05447480994215326,0.0,-0.21214732500837724,-0.1259048962718481,1.6428187431992218,-0.08955431461767242,0.09251994738827587,0.0,422.9672713516588,425.60116305919723,424.0615538458724,422.7662165933458
1.0200000000000005,-0.06787684035548586,-0.0364444810067682,1.0080203276014863,6.237540298078544,0.0597908507826288,0.0,-0.2559559950378723,-0.15831662481273762,1.8303802335169774,-0.11130432970628261,0.07931517263652209,0.0,466.8057340349811,465.78032788055106,468.65257778361655,466.95155256681744
1.0800000000000005,-0.0842739567620672,-0.04674522965856907,1.1172675304746598,6.230708340575113,0.06453262105050239,0.0,-0.2910188156146918,-0.18561141421419589,1.811164382582571,-0.1195507984519786,0.078452319589922,0.0,401.84566620155505,401.7731720398895,401.3580041230924,400.5957487702859
